,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
0,BK 01,Greenpoint/Williamsburg,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,50.8%,52.0%,47.4%,,,101
1,BK 01,Greenpoint/Williamsburg,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.0%,4.9%,,,101
2,BK 01,Greenpoint/Williamsburg,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,33.5%,29.1%,25.8%,24.2%,,,101
3,BK 01,Greenpoint/Williamsburg,Demographics,Population,"All people, both children and adults, living in a given geographic area.","142,098","141,513","146,253","151,308",,,101
4,BK 01,Greenpoint/Williamsburg,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.9%,12.5%,9.1%,10.3%,,,101
5,BK 01,Greenpoint/Williamsburg,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,35.0%,24.2%,25.2%,20.7%,,,101
6,BK 01,Greenpoint/Williamsburg,Demographics,Single-person households,The share of households that include only one person.,,35.0%,31.3%,29.6%,,,101
7,BK 01,Greenpoint/Williamsburg,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,3.9%,5.2%,5.2%,6.6%,,,101
8,BK 01,Greenpoint/Williamsburg,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,4.0%,2.3%,2.6%,4.5%,,,101
9,BK 01,Greenpoint/Williamsburg,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,34.1%,26.8%,30.0%,25.0%,,,101
10,BK 01,Greenpoint/Williamsburg,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,52.5%,64.0%,60.7%,61.3%,,,101
11,BK 01,Greenpoint/Williamsburg,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.61,0.52,0.54,0.56,,,101
12,BK 01,Greenpoint/Williamsburg,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,7.0,6.5,6.9,,,101
13,BK 01,Greenpoint/Williamsburg,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$44,590","$42,790","$50,820","$103,280",,,101
14,BK 01,Greenpoint/Williamsburg,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$67,760","$87,800","$143,950",,,101
15,BK 01,Greenpoint/Williamsburg,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$38,060","$45,000","$95,120",,,101
16,BK 01,Greenpoint/Williamsburg,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,33.8%,35.2%,26.5%,20.1%,,,101
17,BK 01,Greenpoint/Williamsburg,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,26.5%,28.7%,19.2%,,,101
18,BK 01,Greenpoint/Williamsburg,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,58.2%,40.9%,45.2%,,,101
19,BK 01,Greenpoint/Williamsburg,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,57.7%,66.4%,73.9%,,,101
20,BK 01,Greenpoint/Williamsburg,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,32.7%,21.1%,15.5%,,,101
21,BK 01,Greenpoint/Williamsburg,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",9.77%,6.13%,8.20%,3.99%,,,101
22,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,14.5%,18.1%,17.7%,17.7%,,,101
23,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"55,769","65,586","69,661",,,101
24,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.0%,2.8%,,,101
25,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,23.3,29.3,45.0,36.4,38.9,101
26,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,9.7%,3.6%,,,101
