,station,net_entries,net_exits,cdtaCode,borough
0,103_st,15129,15129,MN64,Manhattan
1,103_st_corona,8717,8717,QN04,Queens
2,104_st,9233,9233,QN10,Queens
3,110_st,6037,6037,MN11,Manhattan
4,111_st,15975,15975,QN10,Queens
5,116_st,22502,22502,MN11,Manhattan
6,116_st_columbia,6012,6012,MN09,Manhattan
7,121_st,6210,6210,QN09,Queens
8,125_st,42961,42961,MN11,Manhattan
9,135_st,23667,23667,MN10,Manhattan
10,137_st_city_col,10253,10253,MN09,Manhattan
11,138_grand_conc,3052,3052,BX01,Bronx
12,145_st,19672,19672,MN10,Manhattan
13,149_grand_conc,6841,6841,BX01,Bronx
14,14_st,52003,52003,MN04,Manhattan
15,14_st_union_sq,39117,39117,MN05,Manhattan
16,14th_street,10552,10552,MN04,Manhattan
17,155_st,8182,8182,MN10,Manhattan
18,157_st,8145,8145,MN12,Manhattan
19,15_st_prospect,12229,12229,BK07,Brooklyn
20,161_yankee_stad,38222,38222,BX04,Bronx
21,163_st_amsterdm,8163,8163,MN12,Manhattan
22,167_st,11021,11021,BX04,Bronx
23,168_st,20453,20453,MN12,Manhattan
24,169_st,15337,15337,QN12,Queens
25,170_st,21550,21550,BX04,Bronx
26,174_175_sts,9060,9060,BX05,Bronx
27,174_st,6152,6152,BX03,Bronx
28,175_st,16543,16543,MN12,Manhattan
29,176_st,4100,4100,BX05,Bronx
30,181_st,12958,12958,MN12,Manhattan
31,182_183_sts,2970,2970,BX05,Bronx
32,183_st,4071,4071,BX05,Bronx
33,18_av,18505,18505,BK14,Brooklyn
34,18_st,8179,8179,MN04,Manhattan
35,190_st,3050,3050,MN12,Manhattan
36,191_st,3910,3910,MN12,Manhattan
37,1_av,24233,24233,MN03,Manhattan
38,207_st,6012,6012,MN12,Manhattan
39,20_av,7146,7146,BK11,Brooklyn
40,215_st,4092,4092,MN12,Manhattan
41,219_st,3072,3072,BX12,Bronx
42,21_st,3071,3071,QN02,Queens
43,21_st_qnsbridge,5955,5955,QN01,Queens
44,225_st,3050,3050,BX12,Bronx
45,231_st,10274,10274,,
46,233_st,5153,5153,BX12,Bronx
47,238_st,6208,6208,BX08,Bronx
48,23_st,74696,74696,MN05,Manhattan
49,25_av,3052,3052,BK11,Brooklyn
50,25_st,6133,6133,BK07,Brooklyn
51,28_st,40053,40053,MN05,Manhattan
52,2_av,9716,9716,MN03,Manhattan
53,30_av,7055,7055,QN01,Queens
54,33_st,22608,22608,QN02,Queens
55,33_st_rawson_st,10319,10319,QN03,Queens
56,34_st_herald_sq,51865,51865,MN05,Manhattan
57,34_st_hudson_yd,29821,29821,MN05,Manhattan
58,34_st_penn_sta,102319,102319,MN05,Manhattan
59,36_av,6041,6041,QN01,Queens
60,36_st,14868,14868,QN01,Queens
61,39_av,6112,6112,QN01,Queens
62,3_av,6145,6145,MN06,Manhattan
63,3_av_138_st,4077,4077,BX01,Bronx
64,3_av_149_st,15533,15533,BX01,Bronx
65,40_st_lowery_st,5987,5987,MN05,Manhattan
66,42_st_bryant_pk,20850,20850,MN05,Manhattan
67,42_st_port_auth,50696,50696,MN05,Manhattan
68,45_st,4079,4079,BK07,Brooklyn
69,46_st,15394,15394,QN02,Queens
